X1,RiskPremium,SMB,HML,Rf
200901,0.065255,0.031545,-0.036521,0.001856
200902,0.048575,0.047726,-0.020951,0.001856
200903,0.140575,0.085989,-0.04572,0.001856
200904,0.044575,0.032093,0.010133,0.001856
200905,0.059575,0.025172,0.014635,0.001856
200906,0.141575,-0.100497,-0.036574,0.001856
200907,0.150575,-0.025051,0.01071,0.001856
200908,-0.216425,0.055629,-0.023596,0.001856
200909,0.046575,-0.021428,-0.013969,0.001856
200910,0.078575,0.031512,-0.006602,0.001856
200911,0.068575,0.081205,-0.01485,0.001856
200912,0.024575,0.010828,0.023272,0.001856
201001,-0.087425,0.068571,-0.019892,0.001856
201002,0.020575,0.064169,-0.033612,0.001856
201003,0.019575,0.017901,-0.007244,0.001856
201004,-0.079425,-0.000536,-0.023727,0.001856
201005,-0.088425,0.00989,0.006773,0.001856
201006,-0.075425,-0.026259,0.00669,0.001856
201007,0.106575,0.041684,-0.021094,0.001856
201008,0.012575,0.076638,-0.071841,0.001856
201009,0.006575,0.001086,-0.046987,0.001856
201010,0.118408,-0.027378,0.011675,0.00206
201011,-0.045592,0.052527,-0.034985,0.00206
201012,-0.005875,-0.004099,0.019587,0.00206
201101,-0.022875,-0.035754,0.039525,0.002263
201102,0.045833,0.056276,-0.035037,0.002466
201103,-0.002167,0.004044,0.010137,0.002466
201104,-0.011375,-0.024835,0.004207,0.002669
201105,-0.065375,-0.008925,-0.004201,0.002669
201106,0.023625,0.025946,-0.010852,0.002669
201107,-0.016583,0.03475,-0.053059,0.002871
201108,-0.048583,0.018219,-0.013838,0.002871
201109,-0.089583,-0.026154,0.034667,0.002871
201110,0.043417,-0.008172,0.026626,0.002871
201111,-0.054583,0.010152,-0.019994,0.002871
201112,-0.071583,-0.093488,0.078386,0.002871
201201,0.030417,-0.038789,-0.011674,0.002871
201202,0.066417,0.059289,-0.036771,0.002871
201203,-0.067583,-0.00206,0.013093,0.002871
201204,0.051417,0.014495,-0.019342,0.002871
201205,-0.003583,0.012304,-0.020247,0.002871
